										
Star	Distance	Stellarclass	M☉	Apparent	Absolute	Right ascension	Declination	Parallax	Notes	
Ross 154 (V1216 Sagittarii)	9.7035±0.0019	M3.5Ve		0.17	13.07		18h 49m 49.4s	−23° 50′ 10″	336.123±0.064[7]	flare star
Ross 248 (HH Andromedae)	10.2903±0.0041	M5.5Ve		0.136	14.79		23h 41m 54.7s	#ERROR!	316.96±0.13[7]	flare star
Epsilon Eridani (Ran)	10.446±0.016	K2V[5]		0.82	6.19		03h 32m 55.8s	−09° 27′ 30″	312.22±0.47[7]	three circumstellar disks,two suspected planets (AEgir (debated) and c) (2000 & 2002)[24]
Lacaille 9352 (Gliese 887)	10.7211±0.0016	M0.5V		0.486	9.75		23h 05m 52.0s	−35° 51′ 11″	304.219±0.045[7]	two planets, b and c, with equivocal evidence for a third in the habitable zone (2020)[25]
Ross 128 (FI Virginis)	11.0074±0.0026	M4.0Vn		0.168	13.51		11h 47m 44.4s	#ERROR!	296.307±0.070[7]	flare star, one planet (b) (2017)[26]
EZ Aquarii A	11.109±0.034	M5.0Ve		0.11	15.64		22h 38m 33.4s	−15° 17′ 57″	293.60±0.9[27]	A & B flare stars
EZ Aquarii B	11.109±0.034	M?		0.11	15.58		22h 38m 33.4s	−15° 17′ 57″	293.60±0.9[27]	A & B flare stars
EZ Aquarii C	11.109±0.034	M?		0.1	16.34		22h 38m 33.4s	−15° 17′ 57″	293.60±0.9[27]	A & B flare stars
61 Cygni A (BD+38°4343)	11.4008±0.0012	K5.0V[5]		0.7	7.49		21h 06m 53.9s	#ERROR!	286.08±0.03[7]	B flare star and brightest red dwarf in night sky, first star (besides Sun) to have measured distance[28]possible circumstellar disk.
61 Cygni B (BD+38°4344)	11.4008±0.0012	K7.0V[5]		0.63	8.31		21h 06m 55.3s	#ERROR!	286.08±0.03[7]	B flare star and brightest red dwarf in night sky, first star (besides Sun) to have measured distance[28]possible circumstellar disk.
Procyon A	11.402±0.032	F5IV–V[5]		1.499	2.66		07h 39m 18.1s	#ERROR!	286.05±0.81[10][11]	
Procyon B	11.402±0.032	DQZ[5]		0.602	12.98		07h 39m 18.1s	#ERROR!	286.05±0.81[10][11]	
Struve 2398 A (HD 173739)	11.4880±0.0012	M3.0V[5]		0.334	11.16		18h 42m 46.7s	#ERROR!	283.91±0.03[7]	flare stars, star B has 2 known planets[14]
Struve 2398 B (HD 173740)	11.4880±0.0012	M3.5V[5]		0.248	11.95		18h 42m 46.9s	#ERROR!	283.91±0.03[7]	flare stars, star B has 2 known planets[14]
Groombridge 34 A (GX Andromedae)	11.6182±0.0008	M1.5V[5]		0.38	10.32		00h 18m 22.9s	#ERROR!	280.73±0.02[7]	flare star, two suspected planets (Ac, 2017) and Ab, 2014)[29]
Groombridge 34 B (GQ Andromedae)	11.6182±0.0008	M3.5V[5]		0.15	13.3		00h 18m 22.9s	#ERROR!	280.73±0.02[7]	flare star
DX Cancri (G 51-15)	11.6780±0.0056	M6.5Ve		0.09	16.98		08h 29m 49.5s	#ERROR!	279.29±0.13[7]	flare star
Tau Ceti (BD−16°295)	11.753±0.022	G8.5Vp[5]		0.783	5.68		01h 44m 04.1s	−15° 56′ 15″	277.52±0.52[7]	one debris diskfour confirmed planets (e, f, g, and h) (2012, 2017),four candidate planets (b, c, d, and "i") (2012, 2019), and 1 predicted planet (2020).
Epsilon Indi A	11.869±0.011	K5Ve[5]		0.754	6.89		22h 03m 21.7s	−56° 47′ 10″	274.80±0.25[7]	one planet (Ab) (2018)[30]
Epsilon Indi Ba§	11.869±0.011	T1.0V		0.065			22h 04m 10.5s	−56° 46′ 58″	274.80±0.25[7]	
Epsilon Indi Bb§	11.869±0.011	T6.0V		0.05			22h 04m 10.5s	−56° 46′ 58″	274.80±0.25[7]	
Gliese 1061 (LHS 1565)	11.9803±0.0029	M5.5V[5]		0.113	15.26		03h 35m 59.7s	−44° 30′ 45″	272.245±0.066[7]	has 3 known planets (2019)[32][33][34]
YZ Ceti (LHS 138)	12.1084±0.0035	M4.5V[5]		0.13	14.17		01h 12m 30.6s	−16° 59′ 56″	269.363±0.078[7]	flare star, three planets (b, c, and d) (2017),[35]one suspected planet (e)
Luyten's Star (BD+05°1668)	12.199±0.036	M3.5Vn		0.26	11.97		07h 27m 24.5s	#ERROR!	267.36±0.79[36]	two planets (b, c) (2017)[37] and two suspected planets (d, e) (2019)[38]
Teegarden's Star (SO025300.5+165258)	12.496±0.013	M6.5V		0.08	17.22		02h 53m 00.9s	#ERROR!	261.01±0.27[7]	tentative radial velocity variation (2010)[34][39] has 2 known planets (2019)[40][41]
Kapteyn's Star (CD−45°1841)	12.8294±0.0013	M1.5VI[5]		0.281	10.87		05h 11m 40.6s	−45° 01′ 06″	254.226±0.026[7]	two disputed planets (b and c) (2014)[42][43]
Lacaille 8760 (AX Microscopii)	12.9515±0.0029	M0.0V[5]		0.6	8.69		21h 17m 15.3s	−38° 52′ 03″	251.829±0.056[7]	brightest M dwarf star in night sky, flare star
SCR 1845-6357 A	13.050±0.008	M8.5V[5]		0.07	19.41		18h 45m 05.3s	−63° 57′ 48″	249.91±0.16[7]	[34]
SCR 1845-6357 B§	13.050±0.008	T6[44]		0.03[5]			18h 45m 02.6s	−63° 57′ 52″	249.91±0.16[7]	[34]
Kruger 60 A	13.0724±0.0052	M3.0V[5]		0.271	11.76		22h 27m 59.5s	#ERROR!	249.5±0.1[7]	B flare star
Kruger 60 B (DO Cephei)	13.0724±0.0052	M4.0V[5]		0.176	13.38		22h 27m 59.5s	#ERROR!	249.5±0.1[7]	B flare star
DEN 1048-3956§	13.1932±0.0066	M8.5V[5]		0.08	19.37		10h 48m 14.7s	−39° 56′ 06″	247.22±0.12[7]	[45][46]
Ross 614A (LHS 1849)	13.424±0.049	M4.5V[5]		0.223	13.09		06h 29m 23.4s	−02° 48′ 50″	242.97±0.88[7]	A flare star
Ross 614B (LHS 1850)	13.424±0.049	M5.5V		0.111	16.17		06h 29m 23.4s	−02° 48′ 50″	242.97±0.88[7]	A flare star
UGPS J0722-0540§	13.43±0.13	T9[5]		0.010-0.025			07h 22m 27.3s	–05° 40′ 30″	242.8±2.4[48]	[49]
Wolf 1061 (Gliese 628, BD−12°4523)	14.0458±0.0038	M3.0V[5]		0.294	11.93		16h 30m 18.1s	−12° 39′ 45″	232.210±0.063[7]	three planets (b, c, and d) (2015)[50]
Wolf 424 A	14.05±0.26	M5.5Ve		0.143	14.97		12h 33m 17.2s	#ERROR!	232.2±4.3[51]	flare stars
Wolf 424 B	14.05±0.26	M7Ve		0.131	14.96		12h 33m 17.2s	#ERROR!	232.2±4.3[51]	flare stars
Van Maanen's star (Gliese 35, LHS 7)	14.0744±0.0023	DZ7[5]		0.67	14.21		00h 49m 09.9s	#ERROR!	231.737±0.038[7]	closest-known free-floating white dwarf,third-known white dwarfpossible debris disk (1917),possible planet (b) (2004) (debated)
Gliese 1 (CD−37°15492)	14.1725±0.0037	M1.5 V[5]		0.45-0.48	10.35		00h 05m 24.4s	−37° 21′ 27″	230.133±0.060[7]	
L 1159-16 (TZ Arietis, Gliese 83.1)	14.5843±0.0070	M4.5V[5]		0.14	14.03		02h 00m 13.2s	#ERROR!	223.63±0.11[7]	flare star, has two known planets (b and c) and one candidate (d)[14]
Gliese 674 (LHS 449)	14.8387±0.0033	M3.0V[5]		0.35	11.09		17h 28m 39.9s	−46° 53′ 43″	219.801±0.049[7]	one planet (b) (2007)[52]
Gliese 687 (LHS 450, BD+68°946)	14.8401±0.0022	M3.0V[5]		0.401	10.89		17h 36m 25.9s	#ERROR!	219.781±0.032[7]	possible flare star, two planets (b) (2014)[53] and (c) (2020)[54]
LHS 292 (LP 731-58)	14.885±0.011	M6.5V[5]		0.08	17.32		10h 48m 12.6s	−11° 20′ 14″	219.12±0.16[7]	flare star
LP 145-141 (WD 1142-645, Gliese 440)	15.1182±0.0023	DQ6[5]		0.75	13.18		11h 45m 42.9s	−64° 50′ 29″	215.737±0.032[7]	
G 208-44 A (Gliese 1245 A)	15.2090±0.0050	M5.5V[5]		0.11	15.17		19h 53m 54.2s	#ERROR!	214.45±0.07[7]	flare stars
G 208-45 (Gliese 1245 B)	15.2090±0.0050	M6.0V[5]		0.1	15.72		19h 53m 55.2s	#ERROR!	214.45±0.07[7]	flare stars
G 208-44 B (Gliese 1245 C)	15.2090±0.0050	M5.5		0.07	18.46		19h 53m 54.2s	#ERROR!	214.45±0.07[7]	flare stars
WISE 1741+2553§	15.2±0.2	T9			18.18 J		17h 41m 24.2s	#ERROR!	214±2.8[21]	
Gliese 876 (Ross 780)	15.2504±0.0054	M3.5V[5]		0.37	11.81		22h 53m 16.7s	−14° 15′ 49″	213.867±0.076[7]	four planets (d (2005), c (2001), b (1998), and e (2010))[55]two possible planets (f and g) (2014) (debated)
WISE 1639-6847§	15.45±0.04	Y0.5			22.10 J		16h 39m 40.9s	−68° 47′ 46″	211.11±0.56[56]	
LHS 288 (Luyten 143-23)	15.7703±0.0056	M5.5V[5]		0.11[5]	15.51		10h 44m 21.2s	−61° 12′ 36″	206.817±0.074[7]	one tentative planet (b) (2007)[34]
Gliese 1002	15.8164±0.0098	M5.5V[5]		0.11	15.4		00h 06m 43.8s	−07° 32′ 22″	206.21±0.13[7]	
Groombridge 1618 (Gliese 380)	15.8797±0.0026	K7.0V[5]		0.67	8.16		10h 11m 22.1s	#ERROR!	205.392±0.034[7]	brightest single red dwarf in night sky, flare star, one suspected debris disk,one suspected planet (b) (1989) (tentative)
DEN 0255-4700§	15.885±0.020	L7.5V[5]		0.025-0.065	24.44		02h 55m 03.7s	−47° 00′ 52″	205.33±0.25[7]	[46]
Gliese 412 A	15.983±0.013	M1.0V[5]		0.48	10.34		11h 05m 28.6s	#ERROR!	204.06±0.17[7]	
Gliese 412 B (WX Ursae Majoris)	15.983±0.013	M5.5V[5]		0.1	16.05		11h 05m 30.4s	#ERROR!	204.06±0.17[7]	flare star
Gliese 832	16.1939±0.0034	M1.5 V[5]		0.45	10.2		21h 33m 34.0s	−49° 00′ 32″	201.407±0.043[7]	possible flare star, two planets (b (2008) and c (2014))[57][58]
AD Leonis	16.1970±0.0055	M3.0V[5]		0.39-0.42	10.87		10h 19m 36.4s	#ERROR!	201.368±0.068[7]	flare star, 1 refuted planet (b[14] in 2020)[59]
Keid (40 Eridani A)	16.26±0.02	K0.5V		0.84	5.93		04h 15m 16.3s	−07° 39′ 10″	200.62±0.23	
Gliese 1005 A	16.26±0.76[note 2]	M4V[60]		0.179	12.7		00h 15m 28.11s	−16° 08′ 01.6″	200.5±9.4[60]	
Gliese 1005 B	16.26±0.76[note 2]	M7V		0.112	15.12		00h 15m 28.11s	−16° 08′ 01.6″	200.5±9.4[60]	
